date,sentiment_mean,article_count,bullish_count,bearish_count,neutral_count,reg_article_count,sentiment_index,bullish_ratio,bearish_ratio,extreme_bullish,extreme_bearish
2026-04-08,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0
2026-04-15,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0
2026-04-16,-0.0761351500238691,7,1,2,4,1,-0.0253783833412897,0.14285714285714285,0.2857142857142857,0,0
2026-04-17,0.19157168039908776,13,5,2,6,4,0.03847884345840622,0.38461538461538464,0.15384615384615385,0,0
2026-04-18,-0.2516922056674957,6,0,2,4,4,-0.045418558430759016,0.0,0.3333333333333333,0,0
2026-04-19,0.33790283732944065,9,5,1,3,2,0.09259410402034424,0.5555555555555556,0.1111111111111111,0,0
2026-04-20,0.25379970021869824,23,11,4,8,2,0.11333677729354774,0.4782608695652174,0.17391304347826086,0,0
2026-04-21,0.10912418365478516,88,31,18,39,11,0.23360890706764137,0.3522727272727273,0.20454545454545456,0,0
2026-04-22,0.20430126190185546,20,7,2,11,2,0.18907504859177962,0.35,0.1,0,0
