date,Close,Return,Return3d,Return7d,sentiment_mean,article_count,bullish_count,bearish_count,neutral_count,reg_article_count,sentiment_index,bullish_ratio,bearish_ratio,extreme_bullish,extreme_bearish,fwd_return_1d,fwd_return_3d,fwd_return_7d
2026-04-08,71123.359375,-0.011361353371537541,0.031043809840058723,0.04472487263392311,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009061281070850802,0.027148802861225896,0.051765253811874024
2026-04-09,71767.828125,0.009061281070850802,0.04223071824578417,0.07294606223012923,,,,,,,0.0,,,,,0.016876904061948084,-0.014134771826077142,0.047156292393375265
2026-04-10,72979.046875,0.016876904061948084,0.014433327794918016,0.09036076160874851,,,,,,,0.0,,,,,0.0010307967248304184,0.02063049346997925,0.05683587690730585
2026-04-11,73054.2734375,0.0010307967248304184,0.027148802861225896,0.08565483202150759,,,,,,,0.0,,,,,-0.031495312720733026,0.015431485174710158,0.03657469131201374
2026-04-12,70753.40625,-0.031495312720733026,-0.014134771826077142,0.02568076339773473,,,,,,,0.0,,,,,0.05273575609654846,0.057264689995048856,0.04385577284485853
2026-04-13,74484.640625,0.05273575609654846,0.02063049346997925,0.08168496281735371,,,,,,,0.0,,,,,-0.004068372317531099,0.008961474230110733,0.01863314101879654
2026-04-14,74181.609375,-0.004068372317531099,0.015431485174710158,0.031149351516711388,,,,,,,0.0,,,,,0.008404626904874313,0.03970344738830356,0.029268225383523472
2026-04-15,74805.078125,0.008404626904874313,0.057264689995048856,0.051765253811874024,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004639453579876829,0.012313773818413587,
2026-04-16,75152.1328125,0.004639453579876829,0.008961474230110733,0.047156292393375265,-0.0761351500238691,7.0,1.0,2.0,4.0,1.0,-0.0253783833412897,0.14285714285714285,0.2857142857142857,0.0,0.0,0.02627659540184779,-0.01724210879327792,
2026-04-17,77126.875,0.02627659540184779,0.03970344738830356,0.05683587690730585,0.19157168039908776,13.0,5.0,2.0,6.0,4.0,0.03847884345840622,0.38461538461538464,0.15384615384615385,0.0,0.0,-0.01816051878803593,-0.016263482249216032,
2026-04-18,75726.2109375,-0.01816051878803593,0.012313773818413587,0.03657469131201374,-0.2516922056674957,6.0,0.0,2.0,4.0,4.0,-0.045418558430759016,0.0,0.3333333333333333,0.0,0.0,-0.024692366775663332,0.008274050586224657,
2026-04-19,73856.3515625,-0.024692366775663332,-0.01724210879327792,0.04385577284485853,0.33790283732944065,9.0,5.0,1.0,3.0,2.0,0.09259410402034424,0.5555555555555556,0.1111111111111111,0.0,0.0,0.027298557704868998,,
2026-04-20,75872.5234375,0.027298557704868998,-0.016263482249216032,0.01863314101879654,0.25379970021869824,23.0,11.0,4.0,8.0,2.0,0.11333677729354774,0.4782608695652174,0.17391304347826086,0.0,0.0,0.0063296958930805225,,
2026-04-21,76352.7734375,0.0063296958930805225,0.008274050586224657,0.029268225383523472,0.10912418365478516,88.0,31.0,18.0,39.0,11.0,0.23360890706764137,0.3522727272727273,0.20454545454545456,0.0,0.0,,,
