date,Close,Return,Return3d,Return7d,sentiment_mean,article_count,bullish_count,bearish_count,neutral_count,reg_article_count,sentiment_index,bullish_ratio,bearish_ratio,extreme_bullish,extreme_bearish,fwd_return_1d,fwd_return_3d,fwd_return_7d
2026-03-24,90.82242584228516,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009753049261202573,-0.08592147175338749,-0.08495660845257547
2026-03-25,91.70822143554688,0.009753049261202573,,,,,,,,,0.0,,,,,-0.05740259459351538,-0.10568975356852284,-0.11463489506987301
2026-03-26,86.44393157958984,-0.05740259459351538,,,,,,,,,0.0,,,,,-0.039622240350477234,-0.058090025055649086,-0.08667600616007642
2026-03-27,83.01882934570312,-0.039622240350477234,-0.08592147175338749,,,,,,,,0.0,,,,,-0.012084333660128177,-0.006923437734918325,-0.03192388804280022
2026-03-28,82.0156021118164,-0.012084333660128177,-0.10568975356852284,,,,,,,,0.0,,,,,-0.007232778499693393,0.013300621240156518,-0.014719418668869944
2026-03-29,81.42240142822266,-0.007232778499693393,-0.058090025055649086,,,,,,,,0.0,,,,,0.012547556983815156,-0.0027896786388031947,0.005306779850484444
2026-03-30,82.44405364990234,0.012547556983815156,-0.006923437734918325,,,,,,,,0.0,,,,,0.008034623384721273,-0.04236493308829903,-0.02780649867709062
2026-03-31,83.10646057128906,0.008034623384721273,0.013300621240156518,-0.08495660845257547,,,,,,,0.0,,,,,-0.022997026511691554,-0.032944671452033614,0.03058185446890782
2026-04-01,81.19525909423828,-0.022997026511691554,-0.0027896786388031947,-0.11463489506987301,,,,,,,0.0,,,,,-0.027636370470076166,-0.004764797496811135,0.01707533762276925
2026-04-02,78.9513168334961,-0.027636370470076166,-0.04236493308829903,-0.08667600616007642,-0.7947737574577332,1.0,0.0,1.0,0.0,0.0,-0.3973868787288666,0.0,1.0,0.0,0.0,0.017950665746580663,0.036771715411999306,0.055051807025052524
2026-04-03,80.36854553222656,0.017950665746580663,-0.032944671452033614,-0.03192388804280022,,,,,,,-0.3973868787288666,,,,,0.005472720600003811,-0.002699717279158853,0.055493481814144596
2026-04-04,80.80838012695312,0.005472720600003811,-0.004764797496811135,-0.014719418668869944,,,,,,,-0.3973868787288666,,,,,0.012945588797886876,0.05989020098348563,0.05123711776259854
2026-04-05,81.8544921875,0.012945588797886876,0.036771715411999306,0.005306779850484444,,,,,,,-0.3973868787288666,,,,,-0.020804221745666207,0.008884098474092994,-0.003900331368782761
2026-04-06,80.15157318115234,-0.020804221745666207,-0.002699717279158853,-0.02780649867709062,0.0,1.0,0.0,0.0,1.0,0.0,-0.2649245858192444,0.0,0.0,0.0,0.0,0.06857553575812281,0.039252583401257146,0.0811586019568371
2026-04-07,85.64801025390625,0.06857553575812281,0.05989020098348563,0.03058185446890782,,,,,,,-0.2649245858192444,,,,,-0.035801353565312666,-0.00956863211799408,-0.021873042500411555
2026-04-08,82.58169555664062,-0.035801353565312666,0.008884098474092994,0.01707533762276925,,,,,,,-0.2649245858192444,,,,,0.008670613151261497,0.028663410736808004,0.028306985455113898
2026-04-09,83.2977294921875,0.008670613151261497,0.039252583401257146,0.055051807025052524,,,,,,,-0.2649245858192444,,,,,0.018376808939366107,-0.021159003480490934,0.06838697563656337
2026-04-10,84.82847595214844,0.018376808939366107,-0.00956863211799408,0.055493481814144596,,,,,,,-0.2649245858192444,,,,,0.0014180693714462844,0.021550391333902574,0.047692532124888
2026-04-11,84.94876861572266,0.0014180693714462844,0.028663410736808004,0.05123711776259854,,,,,,,-0.2649245858192444,,,,,-0.04018346736983247,-0.01382175338511582,0.014761183915979359
2026-04-12,81.53523254394531,-0.04018346736983247,-0.021159003480490934,-0.003900331368782761,,,,,,,-0.2649245858192444,,,,,0.06281125473543248,0.041504779738646524,0.02508995520345958
2026-04-13,86.65656280517578,0.06281125473543248,0.021550391333902574,0.0811586019568371,,,,,,,-0.2649245858192444,,,,,-0.033256974732637,0.02697598899266951,-0.015274185307964316
2026-04-14,83.77462768554688,-0.033256974732637,-0.01382175338511582,-0.021873042500411555,,,,,,,-0.2649245858192444,,,,,0.013664121914942262,0.06087204708561744,0.02691551246991497
2026-04-15,84.9193344116211,0.013664121914942262,0.041504779738646524,0.028306985455113898,,,,,,,-0.2649245858192444,,,,,0.0479852427737828,0.015112914037378467,
2026-04-16,88.99420928955078,0.0479852427737828,0.02697598899266951,0.06838697563656337,0.9559043049812317,1.0,1.0,0.0,0.0,0.0,0.05371018250783285,1.0,0.0,0.0,0.0,-0.0013489475765623427,-0.06082711961585818,
2026-04-17,88.87416076660156,-0.0013489475765623427,0.06087204708561744,0.047692532124888,0.17966559529304504,4.0,2.0,1.0,1.0,1.0,0.3785233000914256,0.5,0.25,0.0,0.0,-0.03005876771002003,-0.03984517355008377,
2026-04-18,86.20271301269531,-0.03005876771002003,0.015112914037378467,0.014761183915979359,-0.06358681321144104,10.0,3.0,3.0,4.0,4.0,0.3573276956876119,0.3,0.3,0.0,0.0,-0.030413951546195972,-0.002009777708389615,
2026-04-19,83.58094787597656,-0.030413951546195972,-0.06082711961585818,0.02508995520345958,-0.14741621234200217,11.0,2.0,3.0,6.0,1.0,-0.010445810086799382,0.18181818181818182,0.2727272727272727,0.0,0.0,0.020961793031606613,,
2026-04-20,85.33295440673828,0.020961793031606613,-0.03984517355008377,-0.015274185307964316,-0.03486672691676928,23.0,8.0,9.0,6.0,3.0,-0.0819565841567375,0.34782608695652173,0.391304347826087,0.0,0.0,0.00816226649813978,,
2026-04-21,86.02946472167969,0.00816226649813978,-0.002009777708389615,0.02691551246991497,-0.02773835477621659,23.0,3.0,5.0,15.0,6.0,-0.07000709801166267,0.13043478260869565,0.21739130434782608,0.0,0.0,,,
